0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
0, 4, 6, 8, 10, 10, 12, 12, 20, 23, 24, 24, 26, 28, 29, 29
2, 5, 8, 9, 10, 12, 17, 17, 18, 19, 23, 24, 26, 26, 29, 29
1, 7, 8, 11, 11, 12, 13, 14, 17, 18, 21, 22, 24, 25, 28, 28
2, 3, 6, 6, 10, 10, 16, 17, 18, 19, 21, 21, 21, 22, 22, 26
0, 3, 9, 9, 14, 15, 18, 21, 21, 22, 23, 25, 27, 28, 28, 29
0, 0, 2, 2, 7, 8, 9, 10, 11, 15, 17, 19, 21, 26, 26, 28
1, 3, 3, 10, 10, 13, 15, 18, 19, 19, 21, 24, 27, 28, 28, 29
0, 2, 4, 8, 9, 9, 10, 11, 13, 14, 15, 22, 24, 26, 28, 29
1, 1, 1, 5, 6, 12, 13, 18, 20, 20, 23, 23, 25, 26, 27, 29
3, 6, 7, 8, 12, 13, 14, 14, 17, 17, 20, 21, 23, 25, 27, 29
1, 4, 7, 8, 8, 9, 9, 13, 14, 15, 15, 16, 17, 24, 25, 27
0, 3, 8, 12, 16, 17, 18, 19, 19, 21, 21, 25, 26, 26, 27, 27
1, 2, 6, 9, 9, 10, 12, 12, 13, 13, 13, 18, 18, 20, 26, 28
0, 2, 5, 7, 9, 10, 14, 19, 20, 23, 24, 25, 26, 26, 26, 28
1, 5, 6, 6, 7, 8, 12, 12, 13, 13, 14, 14, 16, 17, 22, 29
0, 1, 4, 6, 9, 12, 12, 12, 14, 18, 20, 21, 22, 24, 25, 26
0, 1, 2, 12, 12, 17, 18, 21, 21, 24, 24, 25, 26, 26, 26, 28
23, 21, 20, 19, 15, 14, 14, 13, 12, 11, 9, 9, 8, 6, 2, 0
29, 23, 22, 22, 21, 18, 17, 17, 15, 14, 13, 10, 9, 9, 5, 5
29, 28, 27, 24, 21, 20, 18, 14, 14, 13, 12, 10, 6, 5, 5, 5
29, 23, 22, 19, 18, 17, 14, 14, 12, 11, 6, 3, 2, 1, 0, 0
28, 17, 14, 11, 11, 11, 9, 8, 7, 4, 3, 3, 1, 1, 0, 0
29, 28, 28, 27, 26, 24, 22, 20, 18, 18, 17, 16, 12, 7, 4, 3
26, 24, 19, 19, 18, 17, 13, 9, 7, 7, 6, 5, 5, 5, 4, 1
29, 28, 27, 25, 25, 24, 24, 23, 22, 22, 17, 11, 9, 7, 5, 0
27, 24, 22, 21, 21, 20, 18, 16, 15, 12, 6, 5, 4, 3, 2, 1
29, 28, 26, 25, 25, 24, 23, 16, 13, 10, 10, 8, 7, 6, 5, 3
25, 22, 22, 20, 20, 19, 19, 14, 14, 13, 10, 9, 6, 6, 1, 0
29, 27, 26, 25, 24, 24, 24, 19, 11, 11, 10, 6, 5, 4, 4, 1
27, 20, 18, 18, 16, 16, 13, 13, 9, 8, 7, 5, 4, 1, 0, 0
26, 24, 23, 21, 20, 20, 19, 17, 17, 16, 15, 15, 10, 7, 5, 2
29, 29, 26, 25, 24, 23, 15, 14, 8, 7, 4, 3, 1, 0, 0, 0
26, 24, 19, 19, 18, 18, 17, 17, 16, 15, 13, 13, 8, 5, 4, 0
29, 27, 23, 21, 21, 20, 19, 17, 15, 14, 9, 6, 4, 2, 2, 0
28, 26, 25, 22, 21, 17, 16, 16, 13, 13, 11, 8, 5, 4, 1, 0
19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19
7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7
10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10
27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27
23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23
17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17
18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
2, 4, 5, 7, 8, 10, 11, 12, 15, 13, 13, 12, 11, 8, 4, 2
0, 1, 5, 6, 11, 14, 15, 19, 12, 11, 8, 8, 5, 4, 4, 3
3, 5, 8, 9, 10, 16, 19, 19, 14, 11, 4, 4, 3, 2, 1, 0
0, 1, 2, 3, 4, 4, 6, 6, 19, 18, 17, 16, 8, 7, 5, 0
1, 1, 1, 4, 5, 7, 12, 12, 12, 12, 10, 8, 4, 4, 2, 0
3, 8, 10, 11, 12, 12, 14, 14, 14, 14, 12, 10, 9, 6, 3, 1
1, 3, 9, 11, 12, 14, 17, 18, 15, 13, 11, 11, 8, 7, 6, 1
2, 3, 5, 6, 13, 15, 16, 16, 18, 16, 15, 13, 9, 8, 7, 4
0, 1, 3, 4, 7, 9, 11, 12, 15, 14, 13, 8, 3, 1, 1, 0
1, 8, 10, 11, 11, 13, 13, 13, 18, 15, 13, 12, 12, 2, 1, 0
2, 3, 3, 4, 4, 7, 15, 15, 8, 6, 5, 4, 2, 1, 1, 1
